Source	Target	Weight
21	141	1
32	389	1
48	197	1
49	231	1
49	389	2
53	106	1
53	141	7
53	142	1
53	229	3
75	114	2
75	171	1
75	200	2
75	234	1
75	277	1
75	363	2
75	389	1
75	419	1
75	420	1
86	171	2
106	306	1
106	363	1
109	114	2
109	200	2
111	206	3
111	237	1
112	141	2
112	385	2
113	175	2
113	200	1
113	291	3
114	135	1
114	200	5
114	234	1
114	277	1
114	363	1
114	389	1
114	419	1
114	420	1
141	142	1
141	155	1
141	229	3
141	385	2
142	327	2
142	371	4
155	231	1
161	363	1
178	234	1
178	302	1
197	234	2
197	387	2
197	437	1
200	231	1
200	234	1
200	277	1
200	322	1
200	363	1
200	389	1
200	399	2
200	419	1
200	420	1
219	389	1
231	261	2
231	389	1
234	277	1
234	346	6
234	363	1
234	389	7
234	419	1
234	420	1
237	437	2
277	363	1
277	389	1
277	419	1
277	420	1
306	363	1
322	389	1
346	389	6
346	398	1
347	398	1
363	389	1
363	419	1
363	420	1
389	419	1
389	420	1
419	420	1
