id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
21	"auletta, g"	0.9274	-0.1344	2	1	1	3	9	0.8645	2015.3333	3	0.2882
32	"beever, j"	-0.1641	-0.1434	4	1	1	4	18	2.1573	2014.5	4.5	0.5393
48	"brejcha, j"	-0.9601	-0.3588	1	1	1	2	18	1.9407	2017.5	9	0.9703
49	"brentari, c"	0.1826	-0.1803	6	2	3	3	33	4.6414	2019.3333	11	1.5471
53	"bruni, le"	0.7437	-0.1947	2	4	12	9	64	5.5245	2012.6667	7.1111	0.6138
75	"cobley, p"	0.1818	0.4065	7	9	12	5	83	7.9124	2016.2	16.6	1.5825
86	"cárdenas-garcía, jf"	0.3755	0.6909	7	1	2	5	64	10.4951	2017.4	12.8	2.099
106	"el-hani, cn"	0.5446	0.0662	5	3	3	2	38	3.5021	2011	19	1.751
109	"emmeche, c"	0.0156	0.5765	3	2	4	4	55	4.6311	2014.75	13.75	1.1578
111	"faltýnek, d"	-1.2554	-0.6569	1	2	4	4	37	5.364	2018	9.25	1.341
112	"fanali, a"	1.0632	-0.2397	2	2	4	2	6	1.1134	2021	3	0.5567
113	"farina, a"	-0.4176	0.9881	9	3	6	15	667	55.2103	2016.1333	44.4667	3.6807
114	"favareau, d"	-0.0215	0.4695	3	10	16	10	117	12.5527	2016.4	11.7	1.2553
135	"gare, a"	-0.1109	0.581	3	1	1	4	15	2.3386	2020.5	3.75	0.5846
141	"giorgi, f"	0.8673	-0.2442	2	7	17	11	44	4.1242	2015.6364	4	0.3749
142	"goldberg, lj"	1.0465	-0.6019	10	4	8	8	42	4.1093	2012.125	5.25	0.5137
155	"harney, m"	0.4949	-0.2489	6	2	2	2	0	0	2019.5	0	0
161	"hoffmeyer, j"	0.4039	0.2823	5	1	1	5	131	9.6461	2014.4	26.2	1.9292
171	"ireland, t"	0.3428	0.6426	7	2	3	6	44	6.5562	2019.5	7.3333	1.0927
175	"james, p"	-0.3763	1.0532	9	1	2	2	9	1.8151	2022	4.5	0.9076
178	"jaroš, f"	-0.4526	-0.2853	8	2	2	5	58	8.9647	2018	11.6	1.7929
197	"kleisner, k"	-0.9226	-0.4249	1	4	6	11	134	12.5229	2016.0909	12.1818	1.1384
200	"kull, k"	-0.1015	0.3668	3	13	20	18	258	30.6813	2016.3889	14.3333	1.7045
206	"lacková, ľ"	-1.3083	-0.6959	1	1	3	7	27	4.9553	2020	3.8571	0.7079
219	"lindström, k"	-0.0248	-0.171	4	1	1	2	14	1.1742	2010	7	0.5871
229	"maggio, r"	0.766	-0.316	2	2	6	3	17	1.8174	2011.3333	5.6667	0.6058
231	"magnus, r"	0.3293	-0.2262	6	5	6	10	63	9.2891	2016.8	6.3	0.9289
234	"maran, t"	-0.3347	-0.0508	8	11	23	19	228	29.7081	2016.7895	12	1.5636
237	"markoš, a"	-1.1533	-0.5842	1	2	3	8	69	9.1696	2013.5	8.625	1.1462
261	"mäekivi, n"	0.3259	-0.3035	6	1	2	4	32	7.1531	2019.25	8	1.7883
277	"ostdiek, g"	0.1201	0.1927	12	8	8	5	41	5.2947	2014	8.2	1.0589
291	"pieretti, n"	-0.4943	0.9929	9	1	3	3	97	11.443	2014.6667	32.3333	3.8143
302	"pudil, m"	-0.4734	-0.3302	8	1	1	2	9	1.5987	2022	4.5	0.7993
306	"queiroz, j"	0.4936	0.123	5	2	2	2	30	2.6631	2011	15	1.3316
322	"rodríguez higuera, cj"	-0.1769	0.1786	4	2	2	6	26	3.375	2019.8333	4.3333	0.5625
327	"rosenblum, la"	1.1343	-0.6142	10	1	2	2	1	0.1498	2013.5	0.5	0.0749
346	"sharov, a"	-0.4617	0.0504	11	3	13	7	68	7.01	2016.7143	9.7143	1.0014
347	"sharov, aa"	-0.6909	0.1371	11	1	1	8	116	9.5784	2017.5	14.5	1.1973
363	"stjernfelt, f"	0.3314	0.2089	5	11	12	4	119	10.5703	2014.5	29.75	2.6426
371	"swan, ls"	1.0174	-0.6844	10	1	4	5	42	4.1228	2011.6	8.4	0.8246
385	"tramonti, f"	1.0282	-0.305	2	2	4	2	6	1.1134	2021	3	0.5567
387	"tureček, p"	-0.8764	-0.4843	1	1	2	2	6	0.9861	2019.5	3	0.4931
389	"tønnessen, m"	-0.073	-0.0331	4	14	26	22	253	26.2021	2016.7273	11.5	1.191
398	"vehkavaara, t"	-0.6443	0.1189	11	2	2	2	50	2.3497	2016	25	1.1749
399	"velmezova, e"	-0.237	0.4161	3	1	2	2	3	0.3852	2015.5	1.5	0.1926
419	"westling, l"	0.0074	0.2097	12	8	8	3	31	4.3299	2019.3333	10.3333	1.4433
420	"wheeler, w"	0.0775	0.2998	12	8	8	4	42	5.3593	2014	10.5	1.3398
437	"švorcová, j"	-1.0891	-0.5396	1	2	3	7	28	5.8071	2019.7143	4	0.8296
