Name,Article count
Morten Tønnessen,22
Timo Maran,19
Kalevi Kull,18
Alexei A. Sharov,15
Marcello Barbieri,15
Almo Farina,14
Franco Giorgi,11
Karel Kleisner,11
Donald Favareau,10
Riin Magnus,10
Yogi Hale Hendlin,9
Anton Markoš,8
Louis J. Goldberg,8
Luis Emilio Bruni,8
Ľudmila Lacková,8
Claudio Julio Rodríguez Higuera,7
Gérard Battail,7
Koichiro Matsuno,7
Jana Švorcová,6
Sigmund Ongstad,6
Alin Olteanu,5
Amelia Lewis,5
Denis Noble,5
Filip Jaroš,5
Gerald Ostdiek,5
Guenther Witzany,5
Jaime F. Cárdenas-García,5
Jesper Hoffmeyer,5
Liz Stillwaggon Swan,5
Maria Isabel Aldinhas Ferreira,5
Paul Cobley,5
Arran Gare,4
Claus Emmeche,4
Dan Faltýnek,4
Eliseo Fernández,4
Frederik Stjernfelt,4
H. H. Pattee,4
Jonathan Beever,4
Jonathan Hope,4
Naoki Nomura,4
Nelly Mäekivi,4
Pauline Suzanne Delahaye,4
Prisca Augustyn,4
Ramsey Affifi,4
Stanley N. Salthe,4
Tim Ireland,4
Wendy Wheeler,4
Yagmur Denizhan,4
Ahti-Veikko Juhani Pietarinen,3
Andrew M. Winters,3
Anna Aragno,3
Carlo Brentari,3
Cliff Joslyn,3
Eva Jablonka,3
Gennaro Auletta,3
Guillermo Lorenzo,3
Joachim De Beule,3
Jun Tomita,3
Louise Westling,3
Mark Pharoah,3
Mark Reybrouck,3
Mehmet Ozansoy,3
Peter Harries-Jones,3
Prakash Mondal,3
Roberto Maggio,3
Seán Ó Nualláin,3
Terrence W. Deacon,3
Tomoaki Muranaka,3
V. N. Alexander,3
Vefa Karatay,3
Victoria N. Alexander,3
Andres Kurismaa,2
Annibale Fanali,2
Anton V. Sukhoverkhov,2
Augusto Ponzio,2
Bruce H. Weber,2
Cary Campbell,2
Charbel Niño El-Hani,2
Dario Martinelli,2
Dennis Görlich,2
Ekaterina Velmezova,2
Elis Aldana,2
Federico Vega,2
