Title,Year,Authors,Count,DOI
Ecoacoustics: the Ecological Investigation and Interpretation of Environmental Sound,2015,"Jérôme Sueur, Almo Farina",317,10.1007/s12304-015-9248-x
The Illusions of the Modern Synthesis,2021,Denis Noble,69,10.1007/s12304-021-09405-3
The Birth of the Holobiont: Multi-species Birthing Through Mutual Scaffolding and Niche Construction,2015,"Lynn Chiu, Scott F. Gilbert",69,10.1007/s12304-015-9232-5
A Short History of Biosemiotics,2009,Marcello Barbieri,68,10.1007/s12304-009-9042-8
The Application of the Acoustic Complexity Indices (ACI) to Ecoacoustic Event Detection and Identification (EEDI) Modeling,2016,"A. Farina, N. Pieretti, P. Salutari, E. Tognari, A. Lombardi",50,10.1007/s12304-016-9266-3
The Acoustic Habitat Hypothesis: An Ecoacoustics Perspective on Species Habitat Selection,2017,"Timothy C. Mullet, Almo Farina, Stuart H. Gage",50,10.1007/s12304-017-9288-5
"Ecosystems are Made of Semiosic Bonds: Consortia, Umwelten, Biophony and Ecological Codes",2010,Kalevi Kull,47,10.1007/s12304-010-9081-1
Umwelt Transitions: Uexküll and Environmental Change,2009,Morten Tønnessen,47,10.1007/s12304-008-9036-y
How Molecules Became Signs,2021,Terrence W. Deacon,43,10.1007/s12304-021-09453-9
Musical Sense-Making and the Concept of Affordance: An Ecosemiotic and Experiential Approach,2012,Mark Reybrouck,42,10.1007/s12304-012-9144-6
Protosemiosis: Agency with Reduced Representation Capacity,2014,"Alexei A. Sharov, Tommi Vehkavaara",41,10.1007/s12304-014-9219-7
The Great Chain of Semiosis. Investigating the Steps in the Evolution of Semiotic Competence,2015,"Jesper Hoffmeyer, Frederik Stjernfelt",38,10.1007/s12304-015-9247-y
Three Types of Semiosis,2008,Marcello Barbieri,36,10.1007/s12304-008-9038-9
Learning and the Evolution of Conscious Agents,2022,"Eva Jablonka, Simona Ginsburg",35,10.1007/s12304-022-09501-y
Introduction: Semiotic Scaffolding,2015,Jesper Hoffmeyer,35,10.1007/s12304-015-9236-1
Biosemiotic Questions,2008,"Kalevi Kull, Claus Emmeche, Donald Favareau",34,10.1007/s12304-008-9008-2
Codepoiesis – the Deep Logic of Life,2012,Marcello Barbieri,33,10.1007/s12304-012-9162-4
"Physical and Functional Conditions for Symbols, Codes, and Languages",2008,H. H. Pattee,32,10.1007/s12304-008-9012-6
"The Biosemiotic Glossary Project: Agent, Agency",2015,Morten Tønnessen,32,10.1007/s12304-015-9229-0
"Evolution, Choice, and Scaffolding: Semiosis is Changing Its Own Building",2015,Kalevi Kull,32,10.1007/s12304-015-9243-2
