id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	jérôme sueur (2015)	"<table><tr><td>Authors:</td><td>jérôme sueur; almo farina</td></tr><tr><td>Title:</td><td>ecoacoustics: the ecological investigation and interpretation of environmental sound</td></tr><tr><td>Source:</td><td>biosemiotics, 8(3), 493-502</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-015-9248-x	1.6544	-0.7061	8	16	82	402	10.6726	2015	402	10.6726
2	lynn chiu (2015)	"<table><tr><td>Authors:</td><td>lynn chiu; scott f. gilbert</td></tr><tr><td>Title:</td><td>the birth of the holobiont: multi-species birthing through mutual scaffolding and niche construction</td></tr><tr><td>Source:</td><td>biosemiotics, 8(2), 191-210</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-015-9232-5	-0.2183	-0.0861	9	67	122	111	2.9469	2015	111	2.9469
3	denis noble (2021a)	"<table><tr><td>Authors:</td><td>denis noble</td></tr><tr><td>Title:</td><td>the illusions of the modern synthesis</td></tr><tr><td>Source:</td><td>biosemiotics, 14(1), 5-24</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-021-09405-3	0.1146	0.6215	3	210	307	74	13.369	2021	74	13.369
4	eva jablonka (2022)	"<table><tr><td>Authors:</td><td>eva jablonka; simona ginsburg</td></tr><tr><td>Title:</td><td>learning and the evolution of conscious agents</td></tr><tr><td>Source:</td><td>biosemiotics, 15(3), 401-437</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-022-09501-y	0.225	0.6816	3	152	252	46	9.046	2022	46	9.046
5	marcello barbieri (2025)	<table><tr><td>Authors:</td><td>marcello barbieri</td></tr><tr><td>Title:</td><td>do codes need interpretation?</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09597-y	-0.1597	0.6345	2	135	191	2	12	2025	2	12
6	marcello barbieri (2009a)	"<table><tr><td>Authors:</td><td>marcello barbieri</td></tr><tr><td>Title:</td><td>a short history of biosemiotics</td></tr><tr><td>Source:</td><td>biosemiotics, 2(2), 221-245</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-009-9042-8	-0.7976	-0.0943	2	362	1211	118	7.3573	2009	118	7.3573
7	marcello barbieri (2012a)	"<table><tr><td>Authors:</td><td>marcello barbieri</td></tr><tr><td>Title:</td><td>code biology – a new science of life</td></tr><tr><td>Source:</td><td>biosemiotics, 5(3), 411-437</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-012-9147-3	-1.2774	-0.0423	2	172	490	87	5.0464	2012	87	5.0464
8	timothy c. mullet (2017)	"<table><tr><td>Authors:</td><td>timothy c. mullet; almo farina; stuart h. gage</td></tr><tr><td>Title:</td><td>the acoustic habitat hypothesis: an ecoacoustics perspective on species habitat selection</td></tr><tr><td>Source:</td><td>biosemiotics, 10(3), 319-336</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-017-9288-5	1.6454	-0.6714	8	30	113	75	7.047	2017	75	7.047
9	alexei a. sharov (2014)	"<table><tr><td>Authors:</td><td>alexei a. sharov; tommi vehkavaara</td></tr><tr><td>Title:</td><td>protosemiosis: agency with reduced representation capacity</td></tr><tr><td>Source:</td><td>biosemiotics, 8(1), 103-123</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-014-9219-7	-0.4668	-0.2247	2	373	1013	68	5.4481	2014	68	5.4481
10	almo farina (2016)	"<table><tr><td>Authors:</td><td>almo farina; nadia pieretti; paolo salutari; e. tognari; angiolella lombardi</td></tr><tr><td>Title:</td><td>the application of the acoustic complexity indices (aci) to ecoacoustic event detection and identification (eedi) modeling</td></tr><tr><td>Source:</td><td>biosemiotics, 9(2), 227-246</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-016-9266-3	1.504	-0.579	8	83	180	63	5.9434	2016	63	5.9434
11	terrence w. deacon (2021)	"<table><tr><td>Authors:</td><td>terrence w. deacon</td></tr><tr><td>Title:</td><td>how molecules became signs</td></tr><tr><td>Source:</td><td>biosemiotics, 14(3), 537-559</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-021-09453-9	-0.9121	0.3451	2	167	298	56	10.117	2021	56	10.117
12	kalevi kull (2022a)	"<table><tr><td>Authors:</td><td>kalevi kull</td></tr><tr><td>Title:</td><td>the biosemiotic fundamentals of aesthetics: beauty is the perfect semiotic fitting</td></tr><tr><td>Source:</td><td>biosemiotics, 15(1), 1-22</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-022-09476-w	0.4353	0.3063	3	169	218	31	6.0962	2022	31	6.0962
13	ahti‐veikko pietarinen (2025)	"<table><tr><td>Authors:</td><td>ahti‐veikko pietarinen; majid davoody beni; vera shumilina</td></tr><tr><td>Title:</td><td>developmental bioelectricity as an explanatory framework for cognition and meaning</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-025-09593-2	0.2214	0.7943	3	82	112	1	6	2025	1	6
14	giulia leonetti (2025)	<table><tr><td>Authors:</td><td>giulia leonetti</td></tr><tr><td>Title:</td><td>ambiguity in plant cognition</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09599-w	0.3572	0.5188	3	31	42	1	6	2025	1	6
15	mark reybrouck (2012)	"<table><tr><td>Authors:</td><td>mark reybrouck</td></tr><tr><td>Title:</td><td>musical sense-making and the concept of affordance: an ecosemiotic and experiential approach</td></tr><tr><td>Source:</td><td>biosemiotics, 5(3), 391-409</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-012-9144-6	0.0368	-0.5028	4	290	593	71	4.1183	2012	71	4.1183
16	jesper hoffmeyer (2015a)	"<table><tr><td>Authors:</td><td>jesper hoffmeyer; frederik stjernfelt</td></tr><tr><td>Title:</td><td>the great chain of semiosis. investigating the steps in the evolution of semiotic competence</td></tr><tr><td>Source:</td><td>biosemiotics, 9(1), 7-29</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-015-9247-y	0.0585	0.2051	5	184	275	63	1.6726	2015	63	1.6726
17	jaime f. cárdenas‐garcía (2020)	"<table><tr><td>Authors:</td><td>jaime f. cárdenas‐garcía</td></tr><tr><td>Title:</td><td>the process of info-autopoiesis – the source of all information</td></tr><tr><td>Source:</td><td>biosemiotics, 13(2), 199-221</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-020-09384-x	-0.873	-0.2371	7	145	322	41	4.9813	2020	41	4.9813
18	morten tønnessen (2009)	"<table><tr><td>Authors:</td><td>morten tønnessen</td></tr><tr><td>Title:</td><td>umwelt transitions: uexküll and environmental change</td></tr><tr><td>Source:</td><td>biosemiotics, 2(1), 47-64</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-008-9036-y	0.3427	-0.3352	11	243	405	62	3.8657	2009	62	3.8657
