index,x,y,doi,text,cluster_40,cluster_19,cluster_19_name,cluster_10,cluster_10_name,cluster_5,cluster_5_name
0,7.608771,1.0280261,10.1007/s12304-008-9020-6,Advertising and the Predation Loop: A Biosemiotic Model (James Carney),14,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
1,7.1331677,10.12571,10.1007/s12304-015-9244-1,Emergence of the “Howling Foxes”: A Semiotic Analysis of Initial Interpretations of the Golden Jackal (Canis aureus) in Estonia (Timo Maran),40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
2,6.0564375,0.019551855,10.1007/s12304-023-09551-w,Atacama Desert’s Solastalgia: Color and Water for Dumping (Carolina Sánchez De Jaegher),35,15,Environmental ethics & Semiocide,7,Ecosemiotics & Environmental ethics,5,Ecological & Ethical dimensions
3,7.0249996,3.4685745,10.1007/s12304-011-9130-4,"Motility, Potentiality, and Infinity—A Semiotic Hypothesis on Nature and Religion (Massimo Leone)",23,17,"Modeling, metodology and formalization of semiosis",9,Modeling & Quantitative approaches,4,Biological codes & Information
4,8.869468,5.3080363,10.1007/s12304-021-09443-x,"Can quantitative approaches develop bio/semiotic theory? (Ľudmila Lacková,Dan Faltýnek)",37,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
5,10.321083,4.6705055,10.1007/s12304-012-9141-9,Agents Competent in Natural Genetic Engineering (Guenther Witzany),30,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
6,6.521002,6.780335,10.1007/s12304-010-9080-2,Merleau-Ponty’s Concept of Nature and the Ontology of Flesh (Ane Faugstad Aarø),24,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
7,6.716838,1.0519755,10.1007/s12304-017-9310-y,"The First Decade of Biosemiotics (Timo Maran,Alexei Sharov,Morten Tønnessen)",13,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
8,9.581322,8.522899,10.1007/s12304-022-09488-6,Beauty: Synthesis of Intellect and Senses Commentary on the Biosemiotic Fundamentals of Aesthetics (Tim Ireland),33,12,Aesthetics & Meaningfulness,8,"Aesthetics, Meaning & Hermeneutics",1,Philosophical & Theoretical foundations
9,7.5247097,-0.07186571,10.1007/s12304-014-9218-8,"A Connoisseur of Magical Coincidences: Chance, Creativity and Poiesis from a Biosemiotic Perspective (Wendy Wheeler)",36,19,Social semiotics & Culture,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
10,4.73907,3.255544,10.1007/s12304-013-9164-x,Learning Plants: Semiosis Between the Parts and the Whole (Ramsey Affifi),10,16,Plant and microbial semiotics,10,Non-animal semiosis,2,"Evolution, Agency & Emergence"
11,9.454115,2.1455638,10.1007/s12304-024-09590-x,"Biosemiotics, Global Semiotics and Semioethics (Susan Petrilli,Augusto Ponzio)",25,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
12,7.860478,1.8078845,10.1007/s12304-011-9131-3,Ritualization and Exaptation: Towards a Theory of Hierarchical Contextuality? (Davide Weible),16,5,Zoosemiotics,4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
13,5.980969,1.3484433,10.1007/s12304-025-09593-2,"Developmental Bioelectricity as an Explanatory Framework for Cognition and Meaning (Ahti-Veikko Pietarinen,Majid D. Beni,Vera Shumilina)",9,13,Health & Human body,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
14,11.703487,1.384878,10.1007/s12304-009-9064-2,Where Does Pattee’s “How Does a Molecule Become a Message?” Belong in the History of Biosemiotics? (Jon Umerez),19,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
15,8.209738,3.2090993,10.1007/s12304-020-09388-7,Natural Intelligence and Anthropic Reasoning (Predrag Slijepcevic),30,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
16,7.7836957,-2.2561507,10.1007/s12304-021-09427-x,Evolution without History? (Vassiliki Betty Smocovitis),31,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
17,7.1003437,4.2126684,10.1007/s12304-012-9159-z,"Modelling Artificial Cognition in Biosemiotic Terms (Maria Isabel Aldinhas Ferreira,Miguel Gama Caldas)",23,17,"Modeling, metodology and formalization of semiosis",9,Modeling & Quantitative approaches,4,Biological codes & Information
18,11.218742,-0.9742811,10.1007/s12304-021-09465-5,Dynamic Encoding in a Simple Autogenic System (Henry Staten),20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
19,7.4169817,7.7634115,10.1007/s12304-024-09583-w,"Introduction to the Special Issue ‘Umwelt Theory and Phenomenology’ (Carlo Brentari,Morten Tønnessen)",38,4,Umwelt theory & Phenomenology,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
20,6.9300747,2.6663938,10.1007/s12304-017-9299-2,"Mental Misrepresentation in Non-human Psychopathology (Krystyna Bielecka,Mira Marcinów)",17,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
21,6.3042865,9.301284,10.1007/s12304-020-09400-0,“Semiotic Canalization”: a Process Directing the Use and Interpretation of Signals in Animal Interactions? (Gabriel Francescoli),16,5,Zoosemiotics,4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
22,7.182085,8.394157,10.1007/s12304-024-09562-1,"Metaphysics of the Organic Whole: Ehrenfels, Uexküll, and Merleau-Ponty (Lenka Ovčáčková,Jana Švorcová)",12,4,Umwelt theory & Phenomenology,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
23,9.574805,-1.2092453,10.1007/s12304-017-9290-y,Biosemiotic Achievement Award for the Year 2016 (Biosemiotics),1,18,Announcements and administrative,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
24,8.308302,9.856382,10.1007/s12304-020-09389-6,Animals in the Midst of Cities (Nathalie Blanc),40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
25,11.391686,3.5677774,10.1007/s12304-010-9088-7,On the Origin of Language (Marcello Barbieri),26,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
26,0.16712113,0.1731833,10.1007/s12304-012-9152-6,Biology Needs Information Theory (Gérard Battail),8,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
27,6.266405,1.354271,10.1007/s12304-025-09594-1,"The Biosemiotic Glossary Project: Habit (Simone Bernardi della Rosa,Nicola Zengiaro)",13,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
28,11.307257,3.7848268,10.1007/s12304-014-9212-1,Introduction to Code Biology (Marcello Barbieri),26,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
29,7.580619,-2.4140437,10.1007/s12304-021-09431-1,On the Use of “Illusion” (Tyler Volk),31,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
30,17.21063,5.416292,10.1007/s12304-014-9224-x,"Attachment Relationships as Semiotic Scaffolding Systems (Patricia M. Crittenden,Andrea Landini)",3,16,Plant and microbial semiotics,10,Non-animal semiosis,2,"Evolution, Agency & Emergence"
31,17.444384,5.5932207,10.1007/s12304-015-9235-2,"Developmental Scaffolding (Franco Giorgi,Luis E. Bruni)",3,16,Plant and microbial semiotics,10,Non-animal semiosis,2,"Evolution, Agency & Emergence"
32,10.788526,-1.3504858,10.1007/s12304-021-09418-y,"Creative Agency Via Higher-Dimensional Constraints (J. A. Bacigalupi,V. N. Alexander)",20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
33,11.478937,8.5048,10.1007/s12304-010-9081-1,"Ecosystems are Made of Semiosic Bonds: Consortia, Umwelten, Biophony and Ecological Codes (Kalevi Kull)",6,10,Biosemiotic integration & Semiotic fitting,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
34,5.861884,-0.19569293,10.1007/s12304-023-09539-6,"Semiocide and Wasteocene in the Making: The Case of Adana Landfill (Eylül Tuğçe Alnıaçık Özyer,Rumeysa Çavuş Peksöz)",35,15,Environmental ethics & Semiocide,7,Ecosemiotics & Environmental ethics,5,Ecological & Ethical dimensions
35,6.5925145,2.3363411,10.1007/s12304-018-9344-9,"Qualitative Attribution, Phenomenal Experience and Being (Mark Pharoah)",13,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
36,8.048456,-0.15723523,10.1007/s12304-019-09368-6,"Jesper Hoffmeyer 1942–2019 (Claus Emmeche,Donald Favareau,Kalevi Kull)",13,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
37,5.4730635,2.4727607,10.1007/s12304-013-9163-y,Seeking Chances to Extend Human Rationality (Davide Secchi),27,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
38,7.555343,-2.3178737,10.1007/s12304-021-09405-3,The Illusions of the Modern Synthesis (Denis Noble),31,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
39,7.293406,2.2216563,10.1007/s12304-009-9044-6,"Honeybees, Communicative Order, and the Collapse of Ecosystems (Peter Harries-Jones)",17,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
40,10.598382,0.113796614,10.1007/s12304-014-9206-z,On the Meaning of Chance in Biology (James A. Coffman),20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
41,7.676403,6.1573086,10.1007/s12304-010-9097-6,"Language Metaphors of Life (Anton Markoš,Dan Faltýnek)",39,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
42,5.4025893,5.080127,10.1007/s12304-014-9225-9,Do They Speak Language? (Lucie Čadková),24,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
43,7.5360365,8.380203,10.1007/s12304-024-09581-y,"Umwelt and Melody: The Inter-Species Dynamics of Search and Rescue Dog Teams (Krystof Kasprzak,Jonna Bornemark)",38,4,Umwelt theory & Phenomenology,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
44,7.5892653,4.3875737,10.1007/s12304-019-09350-2,"The Fundamental Problem of the Science of Information (Jaime F. Cárdenas-García,Timothy Ireland)",23,17,"Modeling, metodology and formalization of semiosis",9,Modeling & Quantitative approaches,4,Biological codes & Information
45,9.165846,4.480916,10.1007/s12304-011-9118-0,"The Rules of Variation Expanded, Implications for the Research on Compatible Genomics (Fernando Castro-Chavez)",8,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
46,8.638487,5.4904337,10.1007/s12304-019-09370-y,Towards a Processual Approach in Protein Studies (Ľudmila Lacková),37,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
47,7.0299172,2.2584221,10.1007/s12304-013-9190-8,What Bateson had in Mind About ‘Mind’? (Clara Costa Oliveira),17,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
48,6.9957347,9.842411,10.1007/s12304-023-09545-8,Umwelt Collapse: The Loss of Umwelt-Ecosystem Integration (Timo Maran),40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
49,2.685128,8.07253,10.1007/s12304-015-9250-3,"Evolution of Natural Agents: Preservation, Advance, and Emergence of Functional Information (Alexei A. Sharov)",7,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
50,10.872952,3.1302016,10.1007/s12304-008-9004-6,"On the Semio-Mathematical Nature of Codes (Yair Neuman,Ophir Nave)",26,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
51,5.8080564,8.570489,10.1007/s12304-010-9087-8,"Towards an Evolutionary Biosemiotics: Semiotic Selection and Semiotic Co-option (Timo Maran,Karel Kleisner)",40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
52,7.6410556,9.862895,10.1007/s12304-016-9264-5,Modelling Ex Situ Animal Behaviour and Communication (Nelly Mäekivi),40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
53,5.758215,4.862686,10.1007/s12304-013-9184-6,From a Bodily-based Format of Knowledge to Symbols. The Evolution of Human Language (Valentina Cuccio),24,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
54,5.3217764,5.117655,10.1007/s12304-018-9312-4,Umwelt and Ape Language Experiments: on the Role of Iconicity in the Human-Ape Pidgin Language (Mirko Cerrone),24,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
55,11.30623,3.08896,10.1007/s12304-008-9026-0,The Scylla and Charybdis of Biosemiotics (Marcello Barbieri),26,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
56,7.0707054,9.062763,10.1007/s12304-024-09579-6,Animal Attention in the Context of Zoosemiotics (Siiri Tarrikas),16,5,Zoosemiotics,4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
57,5.106569,1.8916336,10.1007/s12304-008-9016-2,"Subjects and Objects: Metaphysics, Biology, Consciousness, and Cognition (Seán Ó. Nualláin)",27,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
58,9.141208,2.5242069,10.1007/s12304-011-9124-2,The Marriage of Psychoanalytic Methodology with the Biosemiotic Agenda (Anna Aragno),9,13,Health & Human body,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
59,5.838654,12.172156,10.1007/s12304-019-09361-z,"A Multiscale Approach to Investigate the Biosemiotic Complexity of Two Acoustic Communities in Primary Forests with High Ecosystem Integrity Recorded with 3D Sound Technologies (David Monacchi,Almo Farina)",11,8,Bioacoustics,7,Ecosemiotics & Environmental ethics,5,Ecological & Ethical dimensions
