title,DOI,cited,authors,year
Ecoacoustics: the Ecological Investigation and Interpretation of Environmental Sound,10.1007/s12304-015-9248-x,317,"Jérôme Sueur, Almo Farina",2015
The Illusions of the Modern Synthesis,10.1007/s12304-021-09405-3,69,Denis Noble,2021
The Birth of the Holobiont: Multi-species Birthing Through Mutual Scaffolding and Niche Construction,10.1007/s12304-015-9232-5,69,"Lynn Chiu, Scott F. Gilbert",2015
A Short History of Biosemiotics,10.1007/s12304-009-9042-8,68,Marcello Barbieri,2009
The Application of the Acoustic Complexity Indices (ACI) to Ecoacoustic Event Detection and Identification (EEDI) Modeling,10.1007/s12304-016-9266-3,50,"A. Farina, N. Pieretti, P. Salutari, E. Tognari, A. Lombardi",2016
The Acoustic Habitat Hypothesis: An Ecoacoustics Perspective on Species Habitat Selection,10.1007/s12304-017-9288-5,50,"Timothy C. Mullet, Almo Farina, Stuart H. Gage",2017
"Ecosystems are Made of Semiosic Bonds: Consortia, Umwelten, Biophony and Ecological Codes",10.1007/s12304-010-9081-1,47,Kalevi Kull,2010
Umwelt Transitions: Uexküll and Environmental Change,10.1007/s12304-008-9036-y,47,Morten Tønnessen,2009
How Molecules Became Signs,10.1007/s12304-021-09453-9,43,Terrence W. Deacon,2021
Musical Sense-Making and the Concept of Affordance: An Ecosemiotic and Experiential Approach,10.1007/s12304-012-9144-6,42,Mark Reybrouck,2012
Protosemiosis: Agency with Reduced Representation Capacity,10.1007/s12304-014-9219-7,41,"Alexei A. Sharov, Tommi Vehkavaara",2014
The Great Chain of Semiosis. Investigating the Steps in the Evolution of Semiotic Competence,10.1007/s12304-015-9247-y,38,"Jesper Hoffmeyer, Frederik Stjernfelt",2015
Three Types of Semiosis,10.1007/s12304-008-9038-9,36,Marcello Barbieri,2008
Learning and the Evolution of Conscious Agents,10.1007/s12304-022-09501-y,35,"Eva Jablonka, Simona Ginsburg",2022
Introduction: Semiotic Scaffolding,10.1007/s12304-015-9236-1,35,Jesper Hoffmeyer,2015
Biosemiotic Questions,10.1007/s12304-008-9008-2,34,"Kalevi Kull, Claus Emmeche, Donald Favareau",2008
Codepoiesis – the Deep Logic of Life,10.1007/s12304-012-9162-4,33,Marcello Barbieri,2012
"Physical and Functional Conditions for Symbols, Codes, and Languages",10.1007/s12304-008-9012-6,32,H. H. Pattee,2008
"The Biosemiotic Glossary Project: Agent, Agency",10.1007/s12304-015-9229-0,32,Morten Tønnessen,2015
"Evolution, Choice, and Scaffolding: Semiosis is Changing Its Own Building",10.1007/s12304-015-9243-2,32,Kalevi Kull,2015
A Biosemiotic Perspective of the Resource Criterion: Toward a General Theory of Resources,10.1007/s12304-011-9119-z,32,Almo Farina,2011
Towards an Evolutionary Biosemiotics: Semiotic Selection and Semiotic Co-option,10.1007/s12304-010-9087-8,32,"Timo Maran, Karel Kleisner",2010
The Semantic Morphology of Adolf Portmann: A Starting Point for the Biosemiotics of Organic Form?,10.1007/s12304-008-9014-4,31,Karel Kleisner,2008
Acoustic Codes in Action in a Soundscape Context,10.1007/s12304-014-9213-0,30,"Almo Farina, Nadia Pieretti",2014
Code Biology – A New Science of Life,10.1007/s12304-012-9147-3,29,Marcello Barbieri,2012
The Landscape as a Semiotic Interface between Organisms and Resources,10.1007/s12304-008-9006-4,28,Almo Farina,2008
The Semiotic Body,10.1007/s12304-008-9015-3,28,Jesper Hoffmeyer,2008
Vitalism as Pathos,10.1007/s12304-016-9254-7,28,Thomas Osborne,2016
"Epistemic, Evolutionary, and Physical Conditions for Biological Information",10.1007/s12304-012-9150-8,27,H. H. Pattee,2012
